method,outer_fold,optimizer_seed,best_fitness,best_evaluation_index,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,cache_hits,penalty_candidates,penalty_folds,best_penalty_folds,nonfinite_fold_losses,outer_test_used
bayesian_optimization,19,20260812,0.19890387840569018,26,512,2,0.0,0.0007567768638097836,0.0005848871139578307,2380293,0,0,0,0,0,False
bayesian_optimization,19,20260813,0.20298871882259845,14,512,2,0.4,0.00094282044244778,1.4267143991068778e-06,2380293,0,0,0,0,0,False
bayesian_optimization,20,20260811,0.18429190218448638,11,512,1,0.0,0.0030551014185326566,2.1456720846418502e-06,804357,0,0,0,0,0,False
bayesian_optimization,20,20260812,0.17370187044143676,27,512,1,0.0,0.0022133883724883546,1.6886653388542236e-05,804357,0,0,0,0,0,False
bayesian_optimization,20,20260813,0.1816705971956253,29,320,1,0.0,0.0032365309062194693,0.00021602911069014066,318405,0,0,0,0,0,False
improved_gwo,1,20260811,0.115254607796669,24,512,2,0.3,0.001179601170056728,0.00013026516056643944,2380293,3,0,0,0,0,False
improved_gwo,1,20260812,0.1104189172387123,12,512,2,0.3,0.002123218514536621,5.314150134214065e-05,2380293,3,0,0,0,0,False
improved_gwo,1,20260813,0.13561228066682815,6,320,2,0.0,0.003743833507287047,0.00015070757672200086,934725,3,0,0,0,0,False
improved_gwo,2,20260811,0.21418965756893157,26,384,2,0.2,0.001018714767801008,5.3491258773642774e-06,1342853,3,0,0,0,0,False
improved_gwo,2,20260812,0.22699118591845036,21,512,2,0.2,0.0008438733836962425,0.00018593647865367382,2380293,3,0,0,0,0,False
improved_gwo,2,20260813,0.21435413733124734,21,384,2,0.3,0.0008906451880606737,3.412854611376831e-06,1342853,3,0,0,0,0,False
improved_gwo,3,20260811,0.21823936328291893,19,384,2,0.0,0.0018642252506292586,8.597115032741786e-06,1342853,3,0,0,0,0,False
improved_gwo,3,20260812,0.24425409585237504,19,512,2,0.0,0.0004378358800518137,0.001,2380293,3,0,0,0,0,False
improved_gwo,3,20260813,0.2211155503988266,22,384,2,0.1,0.0010284801086257523,6.473718457794099e-06,1342853,3,0,0,0,0,False
improved_gwo,4,20260811,0.221870493888855,30,384,2,0.4,0.0012615571113065304,6.05417110403267e-06,1342853,3,0,0,0,0,False
improved_gwo,4,20260812,0.24408283531665803,6,512,3,0.2,0.00010981784829165543,0.0005243246218390786,3956229,3,0,0,0,0,False
improved_gwo,4,20260813,0.2248699463903904,26,384,2,0.2,0.0009082733459287649,4.482959699267001e-06,1342853,3,0,0,0,0,False
improved_gwo,5,20260811,0.22668419033288956,26,384,2,0.3,0.0012067096080637574,8.65008896257596e-06,1342853,3,0,0,0,0,False
improved_gwo,5,20260812,0.27306577414274213,4,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,3,0,0,0,0,False
improved_gwo,5,20260813,0.23227182999253274,21,384,2,0.3,0.0008748439058530592,2.7447080375663288e-06,1342853,3,0,0,0,0,False
improved_gwo,6,20260811,0.2029832608997822,15,512,2,0.0,0.0005674092111455028,0.001,2380293,3,0,0,0,0,False
improved_gwo,6,20260812,0.2030473906546831,21,512,2,0.3,0.0006949458193611508,0.000248123670016715,2380293,3,0,0,0,0,False
improved_gwo,6,20260813,0.20862196981906891,11,512,2,0.0,0.0006389392516596369,1e-06,2380293,3,0,0,0,0,False
improved_gwo,7,20260811,0.1957275725901127,15,512,2,0.0,0.0005674092111455028,0.001,2380293,3,0,0,0,0,False
improved_gwo,7,20260812,0.20067235082387924,21,512,2,0.3,0.0006949458193611508,0.000248123670016715,2380293,3,0,0,0,0,False
improved_gwo,7,20260813,0.2075450111180544,17,512,2,0.1,0.0004931155180414174,7.960616743480217e-05,2380293,3,0,0,0,0,False
improved_gwo,8,20260811,0.2511228837072849,19,320,1,0.0,0.002270376471971493,1.1628559467535207e-05,318405,3,0,0,0,0,False
improved_gwo,8,20260812,0.24295880571007727,4,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,3,0,0,0,0,False
improved_gwo,8,20260813,0.33377726301550864,24,512,2,0.3,0.00037029228792694665,8.851149058069604e-06,2380293,3,0,0,0,0,False
improved_gwo,9,20260811,0.21298529729247093,15,512,2,0.1,0.0005334273846182367,0.001,2380293,3,0,0,0,0,False
improved_gwo,9,20260812,0.24148230105638505,19,512,2,0.0,0.00037196272398115984,0.001,2380293,3,0,0,0,0,False
improved_gwo,9,20260813,0.21388758681714534,11,512,2,0.0,0.0007807160308457086,2.4505463620765514e-06,2380293,3,0,0,0,0,False
improved_gwo,10,20260811,0.2078738570213318,15,512,2,0.0,0.0005674092111455028,0.001,2380293,3,0,0,0,0,False
improved_gwo,10,20260812,0.2342979833483696,19,512,2,0.0,0.00037196272398115984,0.001,2380293,3,0,0,0,0,False
improved_gwo,10,20260813,0.2169135555624962,11,512,2,0.1,0.00046500613489309096,1.7584083176010905e-05,2380293,3,0,0,0,0,False
improved_gwo,11,20260811,0.2018553741276264,18,512,2,0.2,0.0006203612629010915,3.3651002346381356e-05,2380293,3,0,0,0,0,False
improved_gwo,11,20260812,0.19943155609071256,21,512,2,0.3,0.0006949458193611508,0.000248123670016715,2380293,3,0,0,0,0,False
