method,outer_fold,optimizer_seed,best_fitness,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,selected_evaluation_index,unique_candidate_count,cache_hit_count,best_numerical_penalty_folds,outer_test_used
random_search,14,20260811,0.22564259953796864,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,19,30,0,0,False
random_search,14,20260812,0.2659525513648987,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,14,20260813,0.19161177352070807,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,15,20260811,0.2455306187272072,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,19,30,0,0,False
random_search,15,20260812,0.28985356390476225,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,15,20260813,0.20826024413108826,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,16,20260811,0.24654372781515121,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,19,30,0,0,False
random_search,16,20260812,0.2748467713594437,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,16,30,0,0,False
random_search,16,20260813,0.22390037216246128,512,2,0.2,0.0007525486830658387,3.018128356876732e-06,2380293,14,30,0,0,False
random_search,17,20260811,0.23874726071953772,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,17,20260812,0.27152819409966467,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,17,20260813,0.20881033018231393,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,18,20260811,0.24606385082006454,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,18,20260812,0.28361446782946587,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,18,20260813,0.16397647187113762,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,19,20260811,0.23192318752408028,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,19,20260812,0.25895687863230704,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,19,20260813,0.1820757392793894,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,20,20260811,0.1884462483227253,320,1,0.0,0.0017501479827680916,4.2991651514725154e-05,318405,10,30,0,0,False
random_search,20,20260812,0.28060245141386986,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,20,20260813,0.17971720471978186,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
bayesian_optimization,1,20260811,0.10160593539476395,512,1,0.0,0.0043029030556862085,0.0005944062555930355,804357,17,30,0,0,False
bayesian_optimization,1,20260812,0.10531801879405975,512,1,0.0,0.004038678116554615,7.057813176964414e-06,804357,14,30,0,0,False
bayesian_optimization,1,20260813,0.10617147833108902,512,1,0.0,0.004061827453576272,3.472528536168133e-06,804357,8,30,0,0,False
bayesian_optimization,2,20260811,0.19738887399435043,512,1,0.0,0.004713706525595626,0.00024875067712956406,804357,9,30,0,0,False
bayesian_optimization,2,20260812,0.21626800522208214,384,2,0.0,0.0006106885594914512,1.123834991842355e-06,1342853,23,30,0,0,False
bayesian_optimization,2,20260813,0.2154236726462841,512,1,0.0,0.004927344666192484,2.7425455208043364e-05,804357,20,30,0,0,False
bayesian_optimization,3,20260811,0.20231765359640122,512,1,0.0,0.004915453381315097,0.0003188626534983423,804357,20,30,0,0,False
bayesian_optimization,3,20260812,0.2714881159365177,512,3,0.2,0.00010576143478263758,3.708919732802448e-05,3956229,30,30,0,0,False
bayesian_optimization,3,20260813,0.20581089630722998,512,1,0.0,0.0027304915675756087,3.123150021042613e-06,804357,8,30,0,0,False
bayesian_optimization,4,20260811,0.19602731615304947,512,1,0.0,0.0025030581608423796,2.4594561588000768e-05,804357,23,30,0,0,False
bayesian_optimization,4,20260812,0.20019398406147956,512,1,0.0,0.001722653415535744,1.2076279956858573e-06,804357,22,30,0,0,False
bayesian_optimization,4,20260813,0.19538626596331596,512,1,0.0,0.0020922060647945917,1.5092272637587613e-05,804357,27,30,0,0,False
bayesian_optimization,5,20260811,0.21982441768050193,512,1,0.0,0.0018750812093601295,9.105555381458206e-06,804357,12,30,0,0,False
bayesian_optimization,5,20260812,0.23446144759655,512,2,0.0,0.0008946151100949383,6.599872525764251e-06,2380293,14,30,0,0,False
bayesian_optimization,5,20260813,0.2247857391834259,512,1,0.0,0.002557204497227595,1.3024910532256026e-06,804357,24,30,0,0,False
bayesian_optimization,6,20260811,0.21206403002142907,512,1,0.0,0.002439863232185684,1.4087453125147148e-06,804357,24,30,0,0,False
bayesian_optimization,6,20260812,0.2033240392804146,512,2,0.0,0.0007634772504332132,7.453811251470062e-06,2380293,15,30,0,0,False
bayesian_optimization,6,20260813,0.2037648033350706,512,2,0.4,0.00094282044244778,1.4267143991068778e-06,2380293,14,30,0,0,False
bayesian_optimization,7,20260811,0.22861265912652015,320,1,0.0,0.004524871429362826,0.0005497678713641875,318405,9,30,0,0,False
bayesian_optimization,7,20260812,0.20117843933403493,512,2,0.0,0.0007634772504332132,7.453811251470062e-06,2380293,15,30,0,0,False
bayesian_optimization,7,20260813,0.2011757805943489,384,2,0.4,0.0009339524548338419,1.2817441460172371e-06,1342853,13,30,0,0,False
bayesian_optimization,8,20260811,0.24225024916231633,384,1,0.0,0.0037637434088814976,0.0007864992052076993,455813,26,30,0,0,False
bayesian_optimization,8,20260812,0.23300817087292672,512,1,0.0,0.003436854131068075,7.724209971899899e-05,804357,21,30,0,0,False
bayesian_optimization,8,20260813,0.24237870723009108,512,1,0.0,0.00255928174813434,4.549844636099148e-06,804357,20,30,0,0,False
bayesian_optimization,9,20260811,0.19307988174259663,384,1,0.0,0.004994753909188747,0.0005916325288302083,455813,10,30,0,0,False
bayesian_optimization,9,20260812,0.2098547823727131,512,2,0.0,0.0009231515054601886,0.0001501302840587343,2380293,29,30,0,0,False
bayesian_optimization,9,20260813,0.1909136228263378,512,1,0.0,0.0018566487223815693,2.302968385854683e-06,804357,29,30,0,0,False
bayesian_optimization,10,20260811,0.19712745696306228,512,1,0.0,0.004445033002149197,7.23871071699529e-05,804357,19,30,0,0,False
bayesian_optimization,10,20260812,0.20987260788679124,512,2,0.0,0.0007444419539309944,3.1221079520009595e-06,2380293,19,30,0,0,False
bayesian_optimization,10,20260813,0.21043317764997482,512,2,0.4,0.00094282044244778,1.4267143991068778e-06,2380293,14,30,0,0,False
bayesian_optimization,11,20260811,0.18607649803161622,512,1,0.0,0.0016027234171971908,0.000170294434157679,804357,17,30,0,0,False
bayesian_optimization,11,20260812,0.20256782434880732,512,2,0.4,0.0007108361322616196,1.5577134116078789e-06,2380293,17,30,0,0,False
bayesian_optimization,11,20260813,0.19977976903319358,512,2,0.4,0.0008696005879210416,5.7255285251128516e-06,2380293,11,30,0,0,False
bayesian_optimization,12,20260811,0.19998875111341477,320,1,0.0,0.004758249588083352,9.753581658272523e-05,318405,15,30,0,0,False
bayesian_optimization,12,20260812,0.22222655415534973,512,2,0.0,0.0006989933676729048,2.5893313054839462e-06,2380293,14,30,0,0,False
bayesian_optimization,12,20260813,0.22533267475664615,512,2,0.4,0.000899277888665798,3.585022468214995e-06,2380293,26,30,0,0,False
bayesian_optimization,13,20260811,0.18128001429140567,512,1,0.0,0.0029482586684257787,0.00014499007353392532,804357,17,30,0,0,False
bayesian_optimization,13,20260812,0.20859991759061813,512,2,0.0,0.0008527925481983075,0.00046753678660766437,2380293,19,30,0,0,False
bayesian_optimization,13,20260813,0.1918256975710392,512,1,0.0,0.002757817089359163,1.041382693356071e-06,804357,15,30,0,0,False
bayesian_optimization,14,20260811,0.21035656109452247,384,1,0.0,0.004857453319448201,1.0814573599508537e-05,455813,20,30,0,0,False
