outer_fold,alpha,fold_01_loss,fold_02_loss,fold_03_loss,fold_04_loss,fold_05_loss,mean_inner_fitness,median_inner_fitness,outer_test_used
6,1.0,2.031216541852647,0.09384500252567675,0.1102266660603157,0.05071226770524699,0.10389227434363094,0.47797855049750354,0.10389227434363094,False
6,10.0,1.1550373157980875,0.17186446094539112,0.12203676594921313,0.05670796857275432,0.15160609918821125,0.3314505220907315,0.15160609918821125,False
6,100.0,1.2573046420767124,0.41481336533357976,0.16166552657789512,0.08404456132799873,0.519915278016031,0.48754867466644336,0.41481336533357976,False
6,1000.0,2.5089391246063792,1.739577959567134,0.3365012458856067,0.2856315555038685,0.99598702509421,1.1733273821314394,0.99598702509421,False
6,10000.0,3.376132677662514,2.6424330655483597,0.4511163807858292,0.43244528216608835,1.1862969267021988,1.6176848665729977,1.1862969267021988,False
7,0.0001,1.7539937447853624,0.20494630969208388,0.25183268162595435,0.1873145490993278,0.7699009006770103,0.6335976371759477,0.25183268162595435,False
7,0.001,1.742152553120647,0.19743249580192151,0.24791152130251876,0.18469666862719683,0.7314941881701617,0.6207374854044893,0.24791152130251876,False
7,0.01,1.641132171276542,0.15103310862592373,0.22477109204008933,0.16694985905587556,0.5843743152769572,0.5536521092550777,0.22477109204008933,False
7,0.1,1.135505048466633,0.07697906313812164,0.1525401619339728,0.1042760990857027,0.2652310662630664,0.3469062877774993,0.1525401619339728,False
7,1.0,0.8579186053309161,0.09362991556367949,0.10825102175515862,0.052944287092825185,0.09037878438944395,0.24062452282640465,0.09362991556367949,False
7,10.0,1.1734722853476316,0.1570503214123164,0.13546780322746813,0.057458315004724536,0.14108266511668974,0.3329062780217661,0.14108266511668974,False
7,100.0,1.2267405235765563,0.3634455200608753,0.180298167178933,0.08704695223319739,0.49158045001947537,0.4698223226138074,0.3634455200608753,False
7,1000.0,2.5007938599119237,1.5043847131953978,0.3659213077252462,0.30643873003202404,0.9460828166719475,1.1247242855073079,0.9460828166719475,False
7,10000.0,3.4526883951386784,2.295558097207035,0.48936791964332305,0.466148066031373,1.1301538255299022,1.5667832607100622,1.1301538255299022,False
8,0.0001,3.8935959385005794,0.13128517148469715,0.8342490298394534,0.19676485222181994,0.9079463453213809,1.1927682674735862,0.8342490298394534,False
8,0.001,3.8489185975250657,0.12548954276820481,0.8198602061164945,0.19414660369502887,0.8810081907272347,1.1738846281664057,0.8198602061164945,False
8,0.01,3.4732412474921235,0.09045229636473637,0.7054877746490302,0.17405882625860047,0.7337431353408794,1.035396656021074,0.7054877746490302,False
8,0.1,2.142509767856068,0.04676118886837995,0.3187357520008271,0.10887723247891859,0.3482973243074108,0.5930362531023209,0.3187357520008271,False
8,1.0,1.3353541680356997,0.08688089561088191,0.1139570674440122,0.058513795985767114,0.1307201813053284,0.3450852216763379,0.1139570674440122,False
8,10.0,1.4939191722947354,0.13310137818571016,0.14852687650387225,0.06568385320635882,0.14118783608516988,0.39648382325516934,0.14118783608516988,False
8,100.0,1.844821225519977,0.3025625347538191,0.18383474465208313,0.09769682983512648,0.49319655951870683,0.5844223788559424,0.3025625347538191,False
8,1000.0,3.446634995106315,1.173373920795177,0.37617319964467494,0.30758235797926603,1.0009997463592595,1.2609528439769384,1.0009997463592595,False
8,10000.0,4.601140877559908,1.7634072106141907,0.5045665374604493,0.46740476998791786,1.2237098435677844,1.7120458478380502,1.2237098435677844,False
9,0.0001,4.98826031132006,0.19932414307309676,0.5792365761148456,0.26065451057147004,0.8871212826214823,1.382919364740191,0.5792365761148456,False
9,0.001,4.921363208118299,0.19163522591685775,0.5656526974939966,0.25452544419823725,0.8632868777071214,1.3592926906869025,0.5656526974939966,False
9,0.01,4.359636724668807,0.14454231544976703,0.46084773027737935,0.21092632146615325,0.7120278311325559,1.1775961845989324,0.46084773027737935,False
9,0.1,2.3498300790453976,0.07032166191243894,0.19055321523154328,0.1058608339445685,0.3174603902531382,0.6068052360774173,0.19055321523154328,False
9,1.0,0.9589543525379577,0.08334417355140016,0.10466924621553815,0.05478243949167801,0.11714828948474827,0.2637797002562644,0.10466924621553815,False
9,10.0,0.992817776779864,0.15205877105617224,0.131549907715117,0.05859664778135996,0.15963506788972023,0.2989316342444467,0.15205877105617224,False
9,100.0,1.2517267109534436,0.36331577299845086,0.17197361783681392,0.08755622410173394,0.5144279534869411,0.47780005587547675,0.36331577299845086,False
9,1000.0,2.580913722135153,1.5794992074849266,0.35926974315640103,0.29737362292356695,0.9889082204866371,1.161192903237337,0.9889082204866371,False
9,10000.0,3.5648314812530812,2.4147298105263,0.48731421625648935,0.4545252790224138,1.184905058921523,1.6212611691959615,1.184905058921523,False
10,0.0001,6.500783737026912,0.11714833446217703,0.7166634269272263,0.6811112736592474,0.8680494195283615,1.7767512383207849,0.7166634269272263,False
10,0.001,6.398219869382493,0.11601585631413122,0.699885803195363,0.6606378873853477,0.8480841451879474,1.7445687122930564,0.699885803195363,False
10,0.01,5.551481225216959,0.10761216831709366,0.5700101906410132,0.508450129065755,0.709781933784372,1.4894671294050386,0.5700101906410132,False
